,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,2.4,104.08,1.77,108.43
Collingwood,Round 2,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.84,97.93,2.0,108.67
Carlton,Round 3,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.48,106.07,-2.25,104.14
Fremantle,Round 4,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.46,113.94,16.26,123.86
Brisbane Lions,Round 5,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.81,99.78,-17.09,88.33
St Kilda,Round 6,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.75,104.75,7.81,114.86
GWS GIANTS,Round 7,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.87,108.61,-2.19,104.21
Port Adelaide,Round 8,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.76,109.61,13.1,120.5
Gold Coast SUNS,Round 9,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.8,100.74,-0.2,106.33
Essendon,Round 10,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,8.37,98.35,-26.79,78.0
Geelong Cats,Round 11,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-9.79,118.15,1.64,108.29
Hawthorn,Round 13,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.39,111.47,9.01,116.14
St Kilda,Round 14,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.75,104.75,7.81,114.86
Richmond,Round 15,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-5.2,112.43,9.55,116.71
Sydney Swans,Round 16,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,3.94,102.54,2.24,108.93
North Melbourne,Round 17,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,2.4,104.08,1.77,108.43
Adelaide Crows,Round 18,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,5.3,101.22,-2.07,104.33
Brisbane Lions,Round 19,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.81,99.78,-17.09,88.33
Essendon,Round 20,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,8.37,98.35,-26.79,78.0
GWS GIANTS,Round 21,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.87,108.61,-2.19,104.21
Melbourne,Round 22,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,10.96,96.05,2.31,109.0
West Coast Eagles,Round 23,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-12.5,121.81,9.41,116.57
Fremantle,Round 24,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.46,113.94,16.26,123.86
